S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#term len 0
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#show logg
S-Cat6880X-01#show logging 
Load for five secs: 5%/1%; one minute: 6%; five minutes: 6%
Time source is NTP, 21:43:54.916 JST Sun Jan 10 2016

Syslog logging: enabled (0 messages dropped, 103 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level debugging, 2474 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 1627 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 2377 messages logged, xml disabled,
Sep 27 01:28:37.514: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:28:37.523: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:28:44.142: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:28:46.082: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:28:46.086: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:28:46.095: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:29:59.107: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:29:59.111: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:29:59.119: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:29:59.107: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:30:19.380: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:30:24.601: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:30:24.609: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:30:24.623: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:50:10.192: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:50:10.192: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:50:10.204: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:50:10.175: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:50:16.404: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:50:19.556: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:50:19.560: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:50:19.563: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:54:26.849: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:54:26.849: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:54:26.861: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to down
Sep 27 01:54:26.913: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:54:26.913: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:54:26.925: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to down
Sep 27 01:54:27.217: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep 27 01:54:27.221: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to down
Sep 27 01:54:27.229: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to down
Sep 27 01:54:27.285: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from forwarding to disabled
Sep 27 01:54:27.285: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:54:27.293: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:54:27.293: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel110, changed state to down
Sep 27 01:54:27.297: %LINK-SW1-3-UPDOWN: Interface Vlan103, changed state to down
Sep 27 01:54:27.297: %LINK-SW1-3-UPDOWN: Interface Port-channel110, changed state to down
Sep 27 01:54:27.297: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan103 from FULL to DOWN, Neighbor Down: Interface down or detached
Sep 27 01:54:27.301: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan103, changed state to down
Sep 27 01:54:27.301: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to down
Sep 27 01:54:26.847: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/10 left the port-channel Port-channel110
Sep 27 01:54:26.911: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/10 left the port-channel Port-channel110
Sep 27 01:54:27.219: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/10 left the port-channel Port-channel110
Sep 27 01:54:27.287: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/10 left the port-channel Port-channel110
Sep 27 01:54:32.873: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:54:33.085: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:54:33.281: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/10, changed state to up
Sep 27 01:54:34.617: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:54:37.641: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:54:37.641: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from disabled to blocking
Sep 27 01:54:37.645: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/10, changed state to up
Sep 27 01:54:37.653: %LINK-SW1-3-UPDOWN: Interface Port-channel110, changed state to up
Sep 27 01:54:37.657: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel110, changed state to up
Sep 27 01:54:37.677: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 27 01:54:37.681: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/10, changed state to up
Sep 27 01:54:37.643: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/10 joined port-channel Port-channel110
Sep 27 01:54:37.711: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/10 joined port-channel Port-channel110
Sep 27 01:54:38.645: %SPANTREE-SW1-6-PORT_STATE: Port Po110 instance 103 moving from blocking to forwarding
Sep 27 01:54:38.657: %LINK-SW1-3-UPDOWN: Interface Vlan103, changed state to up
Sep 27 01:54:38.661: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan103, changed state to up
Sep 27 01:54:38.665: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:54:38.669: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/10, changed state to up
Sep 27 01:54:39.678: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:54:39.682: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/10, changed state to up
Sep 27 01:54:38.687: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/10 joined port-channel Port-channel110
Sep 27 01:54:39.695: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/10 joined port-channel Port-channel110
Sep 27 01:54:48.054: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan103 from LOADING to FULL, Loading Done
Sep 27 02:00:52.850: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 02:00:53.758: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 02:00:55.955: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 02:00:56.963: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 02:01:01.499: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 02:01:02.599: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 02:01:05.583: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 02:01:06.179: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 02:01:31.517: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Sep 27 02:01:31.521: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Sep 27 02:03:44.714: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 02:03:44.722: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Sep 27 02:03:44.838: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 02:03:44.846: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Sep 27 02:03:44.990: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 02:03:44.998: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Sep 27 02:03:45.098: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 02:03:45.098: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Sep 27 02:03:45.102: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Sep 27 02:03:45.102: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Sep 27 02:03:50.430: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 02:03:50.710: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 02:03:51.042: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 02:03:51.326: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 02:03:52.890: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 02:03:52.890: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from disabled to blocking
Sep 27 02:03:52.894: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Sep 27 02:03:52.930: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to up
Sep 27 02:03:52.934: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to up
Sep 27 02:03:53.174: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 02:03:53.178: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Sep 27 02:03:53.190: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 02:03:53.206: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Sep 27 02:03:53.438: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 02:03:53.442: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Sep 27 02:03:53.894: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Sep 27 02:03:52.894: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Sep 27 02:03:53.190: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Sep 27 02:03:53.214: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Sep 27 02:03:53.454: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Sep 27 02:03:53.910: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Sep 27 02:03:53.914: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Sep 27 02:04:03.755: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Oct 26 22:11:31.256: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Oct 26 22:11:31.260: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to down
Oct 26 22:11:31.268: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to down
Oct 26 22:11:31.820: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Oct 26 22:11:31.824: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to down
Oct 26 22:11:31.832: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to down
Oct 26 22:11:31.259: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/1/9 left the port-channel Port-channel109
Oct 26 22:11:31.823: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet1/3/9 left the port-channel Port-channel109
Oct 26 22:11:32.384: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Oct 26 22:11:32.388: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to down
Oct 26 22:11:32.396: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to down
Oct 26 22:11:32.940: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to disabled
Oct 26 22:11:32.940: %EC-SW1-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Oct 26 22:11:32.948: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to down
Oct 26 22:11:32.948: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to down
Oct 26 22:11:32.952: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Oct 26 22:11:32.952: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to down
Oct 26 22:11:32.952: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Oct 26 22:11:32.952: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to down
Oct 26 22:11:32.956: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Oct 26 22:11:32.387: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/1/9 left the port-channel Port-channel109
Oct 26 22:11:32.943: %EC-SW2_STBY-5-UNBUNDLE: Interface TenGigabitEthernet2/3/9 left the port-channel Port-channel109
Oct 26 22:11:36.644: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/1/9, changed state to up
Oct 26 22:11:37.376: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet1/3/9, changed state to up
Oct 26 22:11:37.836: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/1/9, changed state to up
Oct 26 22:11:38.304: %LINK-SW1-3-UPDOWN: Interface TenGigabitEthernet2/3/9, changed state to up
Oct 26 22:11:39.272: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Oct 26 22:11:39.276: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from disabled to blocking
Oct 26 22:11:39.280: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/1/9, changed state to up
Oct 26 22:11:39.308: %LINK-SW1-3-UPDOWN: Interface Port-channel109, changed state to up
Oct 26 22:11:39.312: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Port-channel109, changed state to up
Oct 26 22:11:39.404: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Oct 26 22:11:39.408: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet1/3/9, changed state to up
Oct 26 22:11:39.788: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Oct 26 22:11:39.792: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/1/9, changed state to up
Oct 26 22:11:40.112: %EC-SW1-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Oct 26 22:11:40.116: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface TenGigabitEthernet2/3/9, changed state to up
Oct 26 22:11:39.283: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/1/9 joined port-channel Port-channel109
Oct 26 22:11:39.411: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet1/3/9 joined port-channel Port-channel109
Oct 26 22:11:39.815: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/1/9 joined port-channel Port-channel109
Oct 26 22:11:40.135: %EC-SW2_STBY-5-BUNDLE: Interface TenGigabitEthernet2/3/9 joined port-channel Port-channel109
Oct 26 22:11:40.292: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Oct 26 22:11:40.304: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Oct 26 22:11:40.308: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Oct 26 22:11:50.393: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Nov 23 13:28:39.878: %EARL_CM-SW1_DFC1-5-CL_TCAM1_ERROR: CL TCAM parity error occurred. Count is 2
Jan  7 18:40:41.860: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to blocking
Jan  7 18:40:41.876: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Jan  7 18:40:41.876: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Jan  7 18:40:41.880: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Jan  7 18:40:43.500: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Jan  7 18:40:43.512: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Jan  7 18:40:43.516: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Jan  7 18:40:45.897: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
Jan  7 18:41:28.379: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from forwarding to blocking
Jan  7 18:41:28.399: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to down
Jan  7 18:41:28.399: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from FULL to DOWN, Neighbor Down: Interface down or detached
Jan  7 18:41:28.403: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to down
Jan  7 18:41:29.760: %SPANTREE-SW1-6-PORT_STATE: Port Po109 instance 102 moving from blocking to forwarding
Jan  7 18:41:29.772: %LINK-SW1-3-UPDOWN: Interface Vlan102, changed state to up
Jan  7 18:41:29.776: %LINEPROTO-SW1-5-UPDOWN: Line protocol on Interface Vlan102, changed state to up
Jan  7 18:41:29.820: %OSPF-SW1-5-ADJCHG: Process 1, Nbr 1.1.1.3 on Vlan102 from LOADING to FULL, Loading Done
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
S-Cat6880X-01#
